p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,gene_converted
9.91916920593471e-46,1.26348091278028,0.95,0.374,5.64043637726271e-41,tRG,SOX9,SOX9
5.6891695003218e-44,1.56119442630113,0.94,0.413,3.23508934466299e-39,tRG,GPR98,GPR98
9.05507847114447e-44,1.0726092479625,0.7,0.174,5.14907982183159e-39,tRG,PDLIM3,PDLIM3
4.25216653262028e-43,1.04071464759741,0.59,0.124,2.4179519771092e-38,tRG,BMPR1B,BMPR1B
8.26672845007232e-43,1.86056351045879,0.98,0.631,4.70079246584912e-38,tRG,EGR1,EGR1
5.56151748563682e-42,1.02820913879122,0.91,0.298,3.16250130303252e-37,tRG,PLCE1,PLCE1
2.22363505179361e-41,1.0556444324053,0.8,0.259,1.26444783585192e-36,tRG,LDLR,LDLR
2.37076917921901e-40,1.22512296925912,0.82,0.288,1.3481141860711e-35,tRG,CDO1,CDO1
3.50437834579221e-40,1.13665193235648,0.76,0.229,1.99272970255128e-35,tRG,NRG1,NRG1
4.17077548382314e-40,1.10179610033947,0.82,0.272,2.37166977112119e-35,tRG,PELI2,PELI2
1.1793641374986e-39,1.0693934510877,0.54,0.112,6.70633623147202e-35,tRG,MOXD1,MOXD1
5.86675213724597e-37,1.0939030187338,0.92,0.397,3.33606993532355e-32,tRG,INTU,INTU
7.28980901499615e-36,1.08211215423956,0.97,0.562,4.14527699828741e-31,tRG,FABP5,FABP5
1.34841977289129e-35,1.00237484655198,0.85,0.31,7.66765419656901e-31,tRG,RFTN2,RFTN2
3.20223030753096e-35,1.03425458327229,0.81,0.274,1.8209162420744e-30,tRG,MID1,MID1
3.45923033822485e-35,1.23893049273509,0.46,0.094,1.96705673952818e-30,tRG,EGFR,EGFR
1.99165347893137e-34,1.25312844522686,0.96,0.755,1.13253383425954e-29,tRG,CNN3,CNN3
1.65565521181107e-33,1.07277095502834,0.57,0.142,9.41471779644247e-29,tRG,RP11.138A9.2,RP11-138A9
4.30439527534618e-33,1.14752271237367,0.88,0.403,2.44765132937285e-28,tRG,PPM1K,PPM1K
7.94327177898101e-33,1.55501895248596,0.96,0.611,4.51686206439976e-28,tRG,FOS,FOS
8.58043579288624e-33,1.01179918471847,0.98,0.639,4.87917900926683e-28,tRG,EZR,EZR
2.78063706681491e-31,1.01258541238591,0.81,0.317,1.58118146167363e-26,tRG,SCRN1,SCRN1
1.12962125577915e-30,1.01735671999005,0.95,0.476,6.42347830886253e-26,tRG,FABP7,FABP7
8.19765389800958e-29,1.01343731361515,0.65,0.221,4.66151391256417e-24,tRG,ADAM9,ADAM9
2.0244810239861e-26,1.05989520276786,0.89,0.503,1.15120088947946e-21,tRG,SYNE1,SYNE1
5.60473244007773e-22,1.06596591721512,0.26,0.047,3.1870750547258e-17,tRG,ENPP2,ENPP2
1.33313165765347e-21,1.0308926944694,0.86,0.483,7.58071985808072e-17,tRG,PER2,PER2
3.96267678838055e-159,1.57751534985684,0.797,0.084,2.25333652894472e-154,RG-div1,KIF23,KIF23
2.06502269669553e-153,1.30598068590877,0.827,0.094,1.17425450624895e-148,RG-div1,NDC80,NDC80
2.45456009286009e-152,1.51624270913255,0.91,0.122,1.39576105120396e-147,RG-div1,KIF15,KIF15
3.14767494836475e-151,1.18340707190924,0.827,0.094,1.78989388263813e-146,RG-div1,KIF11,KIF11
5.32460185741335e-147,1.06654583032301,0.797,0.089,3.02778160019953e-142,RG-div1,PBK,PBK
6.74890832996954e-141,1.44414943990485,0.887,0.124,3.83769923275388e-136,RG-div1,TPX2,TPX2
2.92787135100693e-140,1.09631282855731,0.707,0.071,1.66490476503658e-135,RG-div1,KIF4A,KIF4A
6.93625723669463e-140,1.68249881990955,0.887,0.126,3.94423331507403e-135,RG-div1,CDK1,CDK1
8.16278242858828e-137,1.15358070933241,0.707,0.075,4.64168460019244e-132,RG-div1,BUB1B,BUB1B
1.91652207129749e-135,1.5230371939326,0.887,0.125,1.0898111106226e-130,RG-div1,MKI67,MKI67
9.66088097741159e-134,1.11111253044822,0.752,0.086,5.49356335899533e-129,RG-div1,CKAP2L,CKAP2L
8.53895677248273e-127,1.15117699267607,0.842,0.117,4.85559237910458e-122,RG-div1,BIRC5,BIRC5
9.60726869228454e-125,1.1689138933035,0.669,0.072,5.46307726918068e-120,RG-div1,BUB1,BUB1
3.89914920307735e-123,1.44714502459713,0.872,0.136,2.2172122028379e-118,RG-div1,ASPM,ASPM
1.15526319026198e-120,1.405153432375,0.805,0.119,6.5692886051057e-116,RG-div1,ECT2,ECT2
7.09272693239591e-116,1.17914040866603,0.82,0.123,4.03320824283761e-111,RG-div1,CASC5,CASC5
4.50704430086324e-115,1.49902890794617,0.835,0.132,2.56288567124287e-110,RG-div1,CENPE,CENPE
1.43703937823644e-113,1.14845315488006,0.865,0.143,8.17158072040368e-109,RG-div1,NCAPG,NCAPG
3.30225268665658e-111,1.68304394677116,0.94,0.191,1.8777929677404e-106,RG-div1,NUSAP1,NUSAP1
3.61309092967622e-111,1.90791925847754,0.917,0.187,2.05454802625108e-106,RG-div1,TOP2A,TOP2A
2.1220204555755e-109,1.00982663791449,0.85,0.144,1.20666571185845e-104,RG-div1,PTTG1,PTTG1
1.90626522449357e-108,1.04078677767724,0.744,0.107,1.08397865725603e-103,RG-div1,BRCA2,BRCA2
3.5321014991339e-105,1.13477351704895,0.782,0.126,2.0084941964675e-100,RG-div1,SAMD4A,SAMD4A
3.34526259655768e-104,1.02288840642,0.699,0.099,1.90225012290656e-99,RG-div1,ITGA2,ITGA2
1.05877706362408e-99,1.20239034832108,0.925,0.202,6.02062989459196e-95,RG-div1,FANCD2,FANCD2
7.96622670805511e-99,1.28393524465587,0.872,0.179,4.52991515526846e-94,RG-div1,PRC1,PRC1
8.87515814903101e-99,1.01203681825923,0.744,0.116,5.04676992986499e-94,RG-div1,MAD2L1,MAD2L1
6.06958169623515e-98,1.04837540631611,0.692,0.103,3.45140693574716e-93,RG-div1,SGOL2,SGOL2
1.68863428327365e-96,1.23031455166525,0.782,0.133,9.60224998840727e-92,RG-div1,FAM111A,FAM111A
5.32415344299639e-91,1.22818696029872,0.639,0.093,3.02752661382546e-86,RG-div1,CCNB2,CCNB2
1.18675033315134e-90,1.22496201353337,0.88,0.191,6.74833709443181e-86,RG-div1,GLI3,GLI3
3.57726540673748e-90,1.74955818691703,0.94,0.252,2.0341762008872e-85,RG-div1,CENPF,CENPF
5.48555083983797e-87,1.24202596598509,0.932,0.258,3.11930362956546e-82,RG-div1,CKS2,CKS2
2.81586542091812e-85,1.09889145756478,0.774,0.146,1.60121371295088e-80,RG-div1,LTBP1,LTBP1
1.08357564695531e-83,1.0645062628963,0.82,0.172,6.1616445588467e-79,RG-div1,TFAP2C,TFAP2C
1.20537351549099e-76,1.30211698410419,0.94,0.279,6.85423595848799e-72,RG-div1,CREB5,CREB5
1.4506356649595e-75,1.23553159645136,0.932,0.289,8.24889464522569e-71,RG-div1,HMGB2,HMGB2
2.62170846288783e-74,1.14856604384625,0.947,0.286,1.49080830033654e-69,RG-div1,VIM,VIM
1.04897509228719e-73,1.19288342999971,0.842,0.219,5.96489196478187e-69,RG-div1,PSAT1,PSAT1
9.73259119873711e-73,1.21285471618311,0.91,0.282,5.53434065924987e-68,RG-div1,SMC4,SMC4
9.82241707112215e-73,1.10260228042675,0.91,0.255,5.5854192433229e-68,RG-div1,CKAP2,CKAP2
1.29172759153545e-72,1.35274292177569,0.932,0.293,7.34527977650716e-68,RG-div1,SLC1A3,SLC1A3
3.19345471927512e-72,1.24270295225152,0.579,0.094,1.8159260915686e-67,RG-div1,CCNB1,CCNB1
2.04288808817116e-68,1.05651535220481,0.88,0.246,1.16166788245765e-63,RG-div1,BARD1,BARD1
4.9379763622113e-67,1.17076426651332,0.91,0.288,2.80793087860783e-62,RG-div1,WEE1,WEE1
5.71882726788476e-67,1.13275791252251,0.684,0.145,3.25195393760999e-62,RG-div1,FBXO32,FBXO32
2.60171535094433e-66,1.15947363537718,0.902,0.296,1.47943941716099e-61,RG-div1,PAX6,PAX6
3.07749951109939e-66,1.03142984485338,0.722,0.163,1.74998932199156e-61,RG-div1,PHGDH,PHGDH
3.97329883130323e-65,1.09336211109252,0.812,0.213,2.25937664743227e-60,RG-div1,TMEM132B,TMEM132B
3.18466852078417e-61,1.08164721907844,0.752,0.191,1.81092990765871e-56,RG-div1,KNTC1,KNTC1
1.10258502565906e-60,1.42709542333125,0.895,0.299,6.26973948990768e-56,RG-div1,DDAH1,DDAH1
1.18295351132453e-60,1.06398972456602,0.925,0.322,6.72674684679579e-56,RG-div1,SFRP1,SFRP1
3.72640244745386e-59,1.01728021005738,0.865,0.268,2.11898148772016e-54,RG-div1,MID1,MID1
